affordability_band,age_band,party_affiliation,voters
unknown,45-54,BPP,123
unknown,45-54,CPF,232
unknown,45-54,CPP,93
unknown,45-54,CSV,450
unknown,45-54,DEM,105913
unknown,45-54,ECO,55
unknown,45-54,FFP,22
unknown,45-54,GRE,197
unknown,45-54,IND,4432
unknown,45-54,LPF,971
unknown,45-54,NPA,94125
unknown,45-54,PSL,13
unknown,45-54,REP,105027
unknown,55-64,AMF,122
unknown,55-64,ASP,56
unknown,55-64,BPP,70
unknown,55-64,CPF,209
unknown,55-64,CPP,83
unknown,55-64,CSV,454
unknown,55-64,DEM,119483
unknown,55-64,ECO,36
unknown,55-64,GRE,109
unknown,55-64,IND,4785
unknown,55-64,LPF,583
unknown,55-64,NPA,87288
unknown,55-64,PSL,10
unknown,55-64,REP,152592
unknown,65-74,AMF,85
unknown,65-74,ASP,24
unknown,65-74,BPP,28
unknown,65-74,CPF,111
unknown,65-74,CPP,53
unknown,65-74,CSV,368
unknown,65-74,DEM,127752
unknown,65-74,ECO,40
unknown,65-74,GRE,76
unknown,65-74,IND,4742
unknown,65-74,LPF,329
unknown,65-74,NPA,70089
unknown,65-74,REP,155193
unknown,75+,AMF,40
unknown,75+,ASP,16
unknown,75+,BPP,11
unknown,75+,CPF,43
unknown,75+,CPP,23
unknown,75+,CSV,145
unknown,75+,DEM,125281
unknown,75+,ECO,13
unknown,75+,GRE,32
unknown,75+,IND,3297
unknown,75+,LPF,183
unknown,75+,NPA,58046
unknown,75+,REP,151126
unknown,unknown,AMF,61
unknown,unknown,ASP,24
unknown,unknown,BPP,35
unknown,unknown,CPF,66
unknown,unknown,CPP,17
unknown,unknown,CSV,112
unknown,unknown,DEM,21289
unknown,unknown,ECO,11
unknown,unknown,GRE,47
unknown,unknown,IND,1473
unknown,unknown,LPF,215
unknown,unknown,NPA,16441
unknown,unknown,PSL,14
unknown,unknown,REP,45736
