county_code,party_affiliation,voters,new_in_april,new_in_may,missing_after_march,missing_after_april,zip_changed_mar_apr,zip_changed_apr_may,county_changed_mar_apr,county_changed_apr_may,party_changed_mar_apr,party_changed_apr_may,status_changed_mar_apr,status_changed_apr_may
WAK,ASP,27,1,0,0,0,1,0,1,0,0,0,0,0
WAK,BPP,8,1,0,0,0,0,0,0,0,0,1,0,0
WAK,CPF,54,0,0,0,0,0,0,0,0,0,0,0,0
WAK,CPP,35,0,0,0,0,0,1,1,1,3,1,0,0
WAK,CSV,145,2,0,1,0,3,0,1,0,0,0,0,0
WAK,DEM,6881,21,10,19,12,85,20,57,16,21,9,5,6
WAK,ECO,7,0,0,0,0,0,0,0,0,0,0,0,0
WAK,FFP,4,0,0,0,0,0,0,0,0,0,0,0,0
WAK,GRE,15,0,0,0,0,1,0,1,0,0,0,0,0
WAK,IND,546,3,0,0,1,10,1,5,2,13,5,0,1
WAK,JEF,1,0,0,0,0,0,0,0,0,0,0,0,0
WAK,LPF,89,0,0,0,0,0,0,0,0,0,0,0,0
WAK,NPA,4694,13,17,6,3,58,14,31,12,19,21,6,7
WAK,PSL,4,0,0,0,0,0,0,0,0,0,0,0,0
WAK,REP,14593,40,33,18,13,148,48,64,37,43,27,12,13
