county_code,party_affiliation,age_band,voter_count
CIT,CPF,75+,14
CIT,CPF,unknown,5
CIT,CPP,18-24,9
CIT,CPP,25-34,12
CIT,CPP,35-44,11
CIT,CPP,45-54,20
CIT,CPP,55-64,21
CIT,CPP,65-74,15
CIT,CPP,75+,7
CIT,CSV,18-24,64
CIT,CSV,25-34,84
CIT,CSV,35-44,81
CIT,CSV,45-54,65
CIT,CSV,55-64,108
CIT,CSV,65-74,119
CIT,CSV,75+,46
CIT,CSV,unknown,2
CIT,DEM,18-24,1089
CIT,DEM,25-34,2379
CIT,DEM,35-44,2239
CIT,DEM,45-54,2181
CIT,DEM,55-64,3551
CIT,DEM,65-74,6142
CIT,DEM,75+,7252
CIT,DEM,unknown,97
CIT,ECO,18-24,6
CIT,ECO,25-34,11
CIT,ECO,35-44,8
CIT,ECO,45-54,6
CIT,ECO,55-64,7
CIT,ECO,65-74,12
CIT,ECO,75+,2
CIT,FFP,18-24,3
CIT,FFP,25-34,3
CIT,FFP,35-44,4
CIT,FFP,45-54,1
CIT,FFP,55-64,5
CIT,FFP,65-74,2
CIT,GRE,18-24,15
CIT,GRE,25-34,16
CIT,GRE,35-44,19
CIT,GRE,45-54,13
CIT,GRE,55-64,7
CIT,GRE,65-74,5
CIT,GRE,75+,5
CIT,IND,18-24,359
CIT,IND,25-34,498
CIT,IND,35-44,410
CIT,IND,45-54,397
CIT,IND,55-64,612
CIT,IND,65-74,823
CIT,IND,75+,604
CIT,IND,unknown,15
CIT,JEF,25-34,1
CIT,LPF,18-24,24
CIT,LPF,25-34,102
CIT,LPF,35-44,92
CIT,LPF,45-54,52
CIT,LPF,55-64,43
CIT,LPF,65-74,34
CIT,LPF,75+,22
CIT,NPA,18-24,1989
CIT,NPA,25-34,3997
CIT,NPA,35-44,4202
CIT,NPA,45-54,3720
CIT,NPA,55-64,4738
CIT,NPA,65-74,5607
CIT,NPA,75+,5240
CIT,NPA,unknown,115
CIT,PSL,18-24,6
CIT,PSL,25-34,6
CIT,PSL,35-44,4
CIT,PSL,55-64,1
CIT,REP,18-24,3777
CIT,REP,25-34,6671
CIT,REP,35-44,7573
CIT,REP,45-54,8181
CIT,REP,55-64,14577
CIT,REP,65-74,18498
CIT,REP,75+,17834
CIT,REP,unknown,743
CLA,AMF,18-24,68
CLA,AMF,25-34,74
CLA,AMF,35-44,52
CLA,AMF,45-54,45
CLA,AMF,55-64,37
CLA,AMF,65-74,14
CLA,AMF,75+,8
CLA,AMF,unknown,2
CLA,ASP,18-24,35
CLA,ASP,25-34,28
CLA,ASP,35-44,19
CLA,ASP,45-54,13
CLA,ASP,55-64,10
CLA,ASP,65-74,4
CLA,BPP,18-24,35
CLA,BPP,25-34,34
CLA,BPP,35-44,48
CLA,BPP,45-54,31
CLA,BPP,55-64,15
CLA,BPP,65-74,2
CLA,BPP,75+,7
CLA,CPF,18-24,77
CLA,CPF,25-34,68
CLA,CPF,35-44,76
CLA,CPF,45-54,61
CLA,CPF,55-64,34
CLA,CPF,65-74,13
CLA,CPF,75+,4
CLA,CPF,unknown,2
CLA,CPP,18-24,33
CLA,CPP,25-34,34
CLA,CPP,35-44,33
CLA,CPP,45-54,26
CLA,CPP,55-64,21
CLA,CPP,65-74,12
CLA,CPP,75+,6
CLA,CSV,18-24,141
CLA,CSV,25-34,148
CLA,CSV,35-44,145
CLA,CSV,45-54,136
CLA,CSV,55-64,90
CLA,CSV,65-74,65
CLA,CSV,75+,26
CLA,CSV,unknown,2
CLA,DEM,18-24,3530
CLA,DEM,25-34,6121
CLA,DEM,35-44,6407
CLA,DEM,45-54,5907
CLA,DEM,55-64,5860
CLA,DEM,65-74,5484
CLA,DEM,75+,4516
CLA,DEM,unknown,194
CLA,ECO,18-24,18
CLA,ECO,25-34,17
CLA,ECO,35-44,11
CLA,ECO,45-54,8
CLA,ECO,55-64,5
CLA,ECO,65-74,7
CLA,ECO,unknown,1
CLA,FFP,18-24,6
CLA,FFP,25-34,13
CLA,FFP,35-44,7
CLA,FFP,45-54,3
CLA,FFP,55-64,1
CLA,FFP,65-74,3
CLA,GRE,18-24,31
CLA,GRE,25-34,30
CLA,GRE,35-44,30
CLA,GRE,45-54,11
CLA,GRE,55-64,6
CLA,GRE,65-74,4
CLA,GRE,75+,3
CLA,IND,18-24,567
CLA,IND,25-34,876
CLA,IND,35-44,739
CLA,IND,45-54,539
CLA,IND,55-64,531
CLA,IND,65-74,423
CLA,IND,75+,228
CLA,IND,unknown,24
CLA,JEF,55-64,1
CLA,LPF,18-24,60
CLA,LPF,25-34,201
