county_code,party_affiliation,age_band,voter_count
BRE,AMF,55-64,45
BRE,AMF,65-74,31
BRE,AMF,75+,7
BRE,ASP,18-24,36
BRE,ASP,25-34,44
BRE,ASP,35-44,32
BRE,ASP,45-54,22
BRE,ASP,55-64,22
BRE,ASP,65-74,13
BRE,ASP,75+,6
BRE,BPP,18-24,73
BRE,BPP,25-34,111
BRE,BPP,35-44,85
BRE,BPP,45-54,62
BRE,BPP,55-64,38
BRE,BPP,65-74,22
BRE,BPP,75+,7
BRE,BPP,unknown,1
BRE,CPF,18-24,145
BRE,CPF,25-34,157
BRE,CPF,35-44,133
BRE,CPF,45-54,92
BRE,CPF,55-64,100
BRE,CPF,65-74,57
BRE,CPF,75+,23
BRE,CPF,unknown,4
BRE,CPP,18-24,28
BRE,CPP,25-34,51
BRE,CPP,35-44,33
BRE,CPP,45-54,36
BRE,CPP,55-64,26
BRE,CPP,65-74,22
BRE,CPP,75+,11
BRE,CSV,18-24,216
BRE,CSV,25-34,266
BRE,CSV,35-44,261
BRE,CSV,45-54,196
BRE,CSV,55-64,192
BRE,CSV,65-74,159
BRE,CSV,75+,60
BRE,CSV,unknown,2
BRE,DEM,18-24,8219
BRE,DEM,25-34,18579
BRE,DEM,35-44,18167
BRE,DEM,45-54,15716
BRE,DEM,55-64,20011
BRE,DEM,65-74,26065
BRE,DEM,75+,24576
BRE,DEM,unknown,626
BRE,ECO,18-24,33
BRE,ECO,25-34,50
BRE,ECO,35-44,23
BRE,ECO,45-54,24
BRE,ECO,55-64,23
BRE,ECO,65-74,14
BRE,ECO,75+,4
BRE,ECO,unknown,1
BRE,FFP,18-24,10
BRE,FFP,25-34,8
BRE,FFP,35-44,7
BRE,FFP,45-54,4
BRE,FFP,55-64,9
BRE,FFP,65-74,5
BRE,FFP,75+,3
BRE,GRE,18-24,82
BRE,GRE,25-34,130
BRE,GRE,35-44,106
BRE,GRE,45-54,76
BRE,GRE,55-64,39
BRE,GRE,65-74,43
BRE,GRE,75+,14
BRE,GRE,unknown,2
BRE,IND,18-24,1723
BRE,IND,25-34,2767
BRE,IND,35-44,2141
BRE,IND,45-54,1812
BRE,IND,55-64,2249
BRE,IND,65-74,2353
BRE,IND,75+,1423
BRE,IND,unknown,58
BRE,JEF,18-24,4
BRE,JEF,25-34,1
BRE,JEF,35-44,2
BRE,JEF,65-74,1
BRE,LPF,18-24,93
BRE,LPF,25-34,513
BRE,LPF,35-44,636
BRE,LPF,45-54,328
BRE,LPF,55-64,224
BRE,LPF,65-74,150
BRE,LPF,75+,53
BRE,LPF,unknown,6
BRE,MGT,25-34,1
BRE,MGT,35-44,1
BRE,MGT,75+,1
BRE,NPA,18-24,11639
BRE,NPA,25-34,25002
BRE,NPA,35-44,25169
BRE,NPA,45-54,20790
BRE,NPA,55-64,20603
BRE,NPA,65-74,19008
BRE,NPA,75+,13927
BRE,NPA,unknown,604
BRE,PSL,18-24,26
BRE,PSL,25-34,30
BRE,PSL,35-44,24
BRE,PSL,45-54,3
BRE,PSL,55-64,3
BRE,PSL,75+,2
BRE,REP,18-24,12380
BRE,REP,25-34,25063
BRE,REP,35-44,27794
BRE,REP,45-54,28241
BRE,REP,55-64,44400
BRE,REP,65-74,47158
BRE,REP,75+,39629
BRE,REP,unknown,2062
BRO,AMF,18-24,313
BRO,AMF,25-34,207
BRO,AMF,35-44,227
BRO,AMF,45-54,139
BRO,AMF,55-64,130
BRO,AMF,65-74,79
BRO,AMF,75+,26
BRO,AMF,unknown,10
BRO,ASP,18-24,117
BRO,ASP,25-34,83
BRO,ASP,35-44,85
BRO,ASP,45-54,57
BRO,ASP,55-64,59
BRO,ASP,65-74,32
BRO,ASP,75+,14
BRO,ASP,unknown,3
BRO,BPP,18-24,101
BRO,BPP,25-34,143
BRO,BPP,35-44,114
BRO,BPP,45-54,95
BRO,BPP,55-64,72
BRO,BPP,65-74,25
BRO,BPP,75+,24
BRO,BPP,unknown,1
BRO,CPF,18-24,225
BRO,CPF,25-34,177
BRO,CPF,35-44,159
BRO,CPF,45-54,132
BRO,CPF,55-64,119
BRO,CPF,65-74,63
BRO,CPF,75+,38
BRO,CPF,unknown,3
BRO,CPP,18-24,74
BRO,CPP,25-34,85
BRO,CPP,35-44,78
BRO,CPP,45-54,77
BRO,CPP,55-64,74
BRO,CPP,65-74,37
BRO,CPP,75+,21
BRO,CPP,unknown,1
BRO,CSV,18-24,341
BRO,CSV,25-34,358
BRO,CSV,35-44,312
BRO,CSV,45-54,270
BRO,CSV,55-64,243
BRO,CSV,65-74,171
BRO,CSV,75+,87
BRO,CSV,unknown,8
BRO,DEM,18-24,32735
BRO,DEM,25-34,84473
BRO,DEM,35-44,92297
BRO,DEM,45-54,87665
BRO,DEM,55-64,101110
BRO,DEM,65-74,99389
BRO,DEM,75+,89818
BRO,DEM,unknown,2694
BRO,ECO,18-24,51
