extract_month,zip_code,party_affiliation,voter_count
2026-03,32137,DEM,9343
2026-03,32137,ECO,13
2026-03,32137,GRE,34
2026-03,32137,IND,1034
2026-03,32137,LPF,99
2026-03,32137,NPA,9492
2026-03,32137,REP,21211
2026-03,321373213,REP,13
2026-03,321374328,REP,11
2026-03,321376914,REP,11
2026-03,321378964,REP,14
2026-03,32139,DEM,168
2026-03,32139,IND,16
2026-03,32139,NPA,204
2026-03,32139,REP,504
2026-03,32140,CSV,11
2026-03,32140,DEM,250
2026-03,32140,IND,27
2026-03,32140,NPA,232
2026-03,32140,REP,843
2026-03,32141,AMF,20
2026-03,32141,CPF,27
2026-03,32141,CSV,48
2026-03,32141,DEM,3304
2026-03,32141,GRE,11
2026-03,32141,IND,448
2026-03,32141,LPF,59
2026-03,32141,NPA,4327
2026-03,32141,REP,7485
2026-03,32145,AMF,11
2026-03,32145,CPF,11
2026-03,32145,CSV,28
2026-03,32145,DEM,805
2026-03,32145,IND,71
2026-03,32145,LPF,18
2026-03,32145,NPA,888
2026-03,32145,REP,2357
2026-03,32148,AMF,17
2026-03,32148,ASP,12
2026-03,32148,CPF,22
2026-03,32148,CSV,47
2026-03,32148,DEM,1600
2026-03,32148,IND,137
2026-03,32148,LPF,20
2026-03,32148,NPA,1701
2026-03,32148,REP,4064
2026-03,32159,AMF,20
2026-03,32159,ASP,11
2026-03,32159,CPF,25
2026-03,32159,CPP,15
2026-03,32159,CSV,76
2026-03,32159,DEM,5144
2026-03,32159,IND,551
2026-03,32159,LPF,42
2026-03,32159,NPA,5453
2026-03,32159,REP,13034
2026-03,321598533,REP,11
2026-03,32162,AMF,20
2026-03,32162,CPF,26
2026-03,32162,CPP,16
2026-03,32162,CSV,105
2026-03,32162,DEM,8414
2026-03,32162,GRE,10
2026-03,32162,IND,860
2026-03,32162,LPF,53
2026-03,32162,NPA,7920
2026-03,32162,REP,24778
2026-03,321621109,REP,11
2026-03,321622330,REP,10
2026-03,321622413,REP,12
2026-03,321622422,REP,11
2026-03,321623216,REP,10
2026-03,321623502,REP,12
2026-03,321623566,REP,11
2026-03,321623832,REP,11
2026-03,321623884,REP,12
2026-03,321624034,REP,10
2026-03,321627006,REP,10
2026-03,32163,AMF,16
2026-03,32163,CPF,15
2026-03,32163,CPP,11
2026-03,32163,CSV,77
2026-03,32163,DEM,6262
2026-03,32163,IND,819
2026-03,32163,LPF,44
2026-03,32163,NPA,7435
2026-03,32163,REP,24177
2026-03,321632308,REP,13
2026-03,321632355,REP,11
2026-03,321632775,REP,10
2026-03,321634284,REP,11
2026-03,32164,AMF,73
2026-03,32164,ASP,35
2026-03,32164,BPP,72
2026-03,32164,CPF,106
2026-03,32164,CPP,54
2026-03,32164,CSV,264
2026-03,32164,DEM,11390
2026-03,32164,ECO,26
2026-03,32164,GRE,33
2026-03,32164,IND,1090
2026-03,32164,LPF,123
2026-03,32164,NPA,10160
2026-03,32164,REP,18678
2026-03,321643216,NPA,16
2026-03,32168,AMF,25
2026-03,32168,ASP,16
2026-03,32168,CPF,31
2026-03,32168,CPP,17
2026-03,32168,CSV,91
2026-03,32168,DEM,6066
2026-03,32168,ECO,12
2026-03,32168,GRE,19
2026-03,32168,IND,781
2026-03,32168,LPF,89
2026-03,32168,NPA,7157
2026-03,32168,REP,13618
2026-03,32169,CSV,16
2026-03,32169,DEM,2214
2026-03,32169,IND,275
2026-03,32169,LPF,25
2026-03,32169,NPA,2335
2026-03,32169,REP,4903
2026-03,32174,AMF,35
2026-03,32174,ASP,18
2026-03,32174,BPP,11
2026-03,32174,CPF,59
2026-03,32174,CPP,21
2026-03,32174,CSV,154
2026-03,32174,DEM,10796
2026-03,32174,GRE,31
2026-03,32174,IND,1261
2026-03,32174,LPF,132
2026-03,32174,NPA,11662
2026-03,32174,REP,21772
2026-03,321741512,REP,10
2026-03,32176,AMF,12
2026-03,32176,CPF,15
2026-03,32176,CSV,37
2026-03,32176,DEM,3035
2026-03,32176,IND,360
2026-03,32176,LPF,58
2026-03,32176,NPA,3432
2026-03,32176,REP,6094
2026-03,32177,AMF,23
2026-03,32177,BPP,13
2026-03,32177,CPF,31
2026-03,32177,CSV,47
2026-03,32177,DEM,5543
2026-03,32177,GRE,15
2026-03,32177,IND,251
2026-03,32177,LPF,41
2026-03,32177,NPA,2979
2026-03,32177,REP,9371
2026-03,32179,CPF,23
2026-03,32179,CSV,23
2026-03,32179,DEM,1354
2026-03,32179,IND,167
2026-03,32179,LPF,30
2026-03,32179,NPA,1718
2026-03,32179,REP,4241
2026-03,32180,DEM,474
2026-03,32180,IND,54
2026-03,32180,NPA,677
2026-03,32180,REP,1357
2026-03,32181,DEM,381
2026-03,32181,IND,29
2026-03,32181,NPA,451
2026-03,32181,REP,1068
2026-03,32187,DEM,319
2026-03,32187,IND,16
2026-03,32187,NPA,208
2026-03,32187,REP,774
2026-03,32189,CPF,12
2026-03,32189,CSV,27
2026-03,32189,DEM,771
2026-03,32189,IND,72
2026-03,32189,LPF,14
2026-03,32189,NPA,883
2026-03,32189,REP,2459
2026-03,32190,DEM,168
2026-03,32190,NPA,152
2026-03,32190,REP,398
2026-03,32193,DEM,261
2026-03,32193,IND,16
2026-03,32193,NPA,194
2026-03,32193,REP,583
2026-03,32195,CSV,11
2026-03,32195,DEM,492
2026-03,32195,IND,61
2026-03,32195,NPA,655
2026-03,32195,REP,1836
2026-03,32202,AMF,10
2026-03,32202,CPF,10
2026-03,32202,CPP,14
2026-03,32202,CSV,14
2026-03,32202,DEM,1944
2026-03,32202,IND,75
2026-03,32202,LPF,12
2026-03,32202,NPA,1011
2026-03,32202,REP,962
2026-03,322022723,DEM,12
2026-03,32204,CPF,10
2026-03,32204,CSV,16
2026-03,32204,DEM,2876
2026-03,32204,GRE,12
2026-03,32204,IND,108
2026-03,32204,LPF,23
2026-03,32204,NPA,1270
2026-03,32204,REP,1134
2026-03,32205,AMF,17
2026-03,32205,ASP,15
2026-03,32205,BPP,10
2026-03,32205,CPF,37
2026-03,32205,CPP,20
2026-03,32205,CSV,55
2026-03,32205,DEM,8170
2026-03,32205,ECO,11
2026-03,32205,GRE,34
2026-03,32205,IND,433
2026-03,32205,LPF,122
2026-03,32205,NPA,4219
2026-03,32205,REP,5455
2026-03,322056123,DEM,11
2026-03,32206,AMF,27
2026-03,32206,BPP,13
2026-03,32206,CPF,18
2026-03,32206,CPP,11
2026-03,32206,CSV,37
2026-03,32206,DEM,7073
2026-03,32206,GRE,12
2026-03,32206,IND,179
2026-03,32206,LPF,24
2026-03,32206,NPA,2046
2026-03,32206,REP,1147
2026-03,322065037,DEM,10
2026-03,32207,AMF,29
2026-03,32207,BPP,22
2026-03,32207,CPF,28
2026-03,32207,CPP,17
2026-03,32207,CSV,45
2026-03,32207,DEM,7244
2026-03,32207,GRE,18
2026-03,32207,IND,447
2026-03,32207,LPF,91
2026-03,32207,NPA,4817
2026-03,32207,REP,8071
2026-03,32208,AMF,35
2026-03,32208,ASP,17
2026-03,32208,BPP,19
2026-03,32208,CPF,32
2026-03,32208,CPP,24
2026-03,32208,CSV,79
2026-03,32208,DEM,13844
2026-03,32208,IND,266
2026-03,32208,LPF,36
2026-03,32208,NPA,3267
2026-03,32208,REP,2248
2026-03,322088454,DEM,11
2026-03,32209,AMF,37
2026-03,32209,ASP,30
2026-03,32209,BPP,13
2026-03,32209,CPF,46
2026-03,32209,CPP,29
2026-03,32209,CSV,74
2026-03,32209,DEM,15226
2026-03,32209,GRE,13
2026-03,32209,IND,212
2026-03,32209,LPF,23
2026-03,32209,NPA,3266
2026-03,32209,REP,1102
2026-03,322091700,DEM,10
2026-03,322091912,DEM,11
2026-03,322095357,DEM,10
2026-03,32210,AMF,68
2026-03,32210,ASP,30
2026-03,32210,BPP,88
2026-03,32210,CPF,84
2026-03,32210,CPP,53
2026-03,32210,CSV,140
